region,AvgPrice,TotalVolume
HartfordSpringfield,1.8186390532544363,50670537.45999998
SanFrancisco,1.8042011834319525,135830191.78000003
NewYork,1.727573964497041,240734127.53000015
Philadelphia,1.6321301775147927,71838798.18000002
Sacramento,1.6215680473372784,75163746.85999994
Charlotte,1.6060355029585796,35555544.41999999
Northeast,1.6019230769230774,713280909.5600004
Albany,1.5610355029585792,16067799.96999999
Chicago,1.5567751479289942,133702338.50999993
RaleighGreensboro,1.555118343195266,48202731.66
BaltimoreWashington,1.5342307692307684,134713919.31999993
Boston,1.5308875739644972,97273984.82999998
Syracuse,1.5203254437869826,10942667.680000002
BuffaloRochester,1.5168343195266274,22962470.39999999
HarrisburgScranton,1.5132840236686393,41808858.68
Jacksonville,1.5109467455621308,28790004.739999995
Orlando,1.5062130177514785,58660703.88999998
GrandRapids,1.5049999999999992,30211735.92999999
NorthernNewEngland,1.4773964497041419,71532894.10999994
Spokane,1.4455917159763314,15565275.47999999
Seattle,1.4425739644970408,109214177.96
Plains,1.4365088757396456,311188529.11
StLouis,1.4306213017751486,32072833.329999987
MiamiFtLauderdale,1.428491124260355,97673224.02999999
Tampa,1.4088461538461536,66004539.30999996
Midsouth,1.4047633136094666,508349357.2000003
SouthCarolina,1.4032840236686406,60753772.90000002
SanDiego,1.3981656804733738,89791919.69
Southeast,1.39801775147929,615238409.110001
California,1.3953254437869818,1028981653.1699995
LasVegas,1.3809171597633145,54376906.399999954
Pittsburgh,1.3643195266272197,18806345.810000002
Boise,1.348136094674556,14413187.749999989
GreatLakes,1.3385502958579882,589642549.2900001
Atlanta,1.3379585798816571,88605118.85000004
TotalUS,1.319023668639053,5864740181.800002
Portland,1.3177218934911241,110552211.60000004
Indianapolis,1.313994082840236,30263391.429999966
NewOrleansMobile,1.3047928994082851,45695136.579999976
RichmondNorfolk,1.2913313609467465,42230851.45
Louisville,1.286686390532545,16097002.399999997
Detroit,1.2760946745562132,63422419.38000002
West,1.2722189349112432,1086779155.7499993
WestTexNewMexico,1.2617014925373136,144521839.78
Columbus,1.2527810650887576,29993361.419999987
Roanoke,1.2479289940828397,25042010.81000003
PhoenixTucson,1.224437869822485,195643312.49999994
Denver,1.2185798816568048,138902535.9900001
LosAngeles,1.216005917159763,507896547.6300007
Nashville,1.2121005917159768,35612089.23000001
CincinnatiDayton,1.2092011834319527,44522007.57000003
SouthCentral,1.1012426035502958,1011279618.8299996
DallasFtWorth,1.0855917159763315,208419286.55000004
Houston,1.0479289940828398,203167867.80000022
