year,region,Small,Large,XLarge
2015,Albany,701472.4500000004,18045.649999999998,137
2015,Atlanta,1881494.3599999999,1114614.350000001,884
2015,BaltimoreWashington,9222492.409999998,262347.8,3475
2015,Boise,482717.44000000006,33605.659999999996,1711
2015,Boston,5680950.719999999,77618.25999999998,146
2015,BuffaloRochester,3132466.46,26737.45,133
2015,California,34734893.859999985,2128067.099999999,199156
2015,Charlotte,2591186.7099999986,219912.53999999998,99
2015,Chicago,4421151.760000002,155350.54999999996,42645
2015,CincinnatiDayton,1083591.9700000007,1855712.3499999999,102252
2015,Columbus,992581.4800000001,254578.44999999998,95688
2015,DallasFtWorth,5325032.710000002,604706.0999999997,45495
2015,Denver,2865284.7900000024,6138360.100000002,3344
2015,Detroit,3261486.1499999985,143597.89000000004,462701
2015,GrandRapids,2596460.8900000006,182429.16999999998,83619
2015,GreatLakes,26462753.990000002,6183260.530000002,1410788
2015,HarrisburgScranton,3417514.6000000015,105860.67,8413
2015,HartfordSpringfield,3010418.6499999985,137656.61,78
2015,Houston,3913544.159999998,2416209.84,61984
2015,Indianapolis,1274125.58,837505.8700000005,102905
2015,Jacksonville,992357.5000000001,717265.3300000002,206
2015,LasVegas,2022006.86,513049.68,15
2015,LosAngeles,19631899.24000001,1477896.8599999992,187711
2015,Louisville,621581.0399999999,572272.8900000004,36119
2015,MiamiFtLauderdale,2666464.880000001,2038581.4900000002,1511
2015,Midsouth,29647448.30999999,3181595.9199999995,86412
2015,Nashville,1357585.1599999995,410004.67999999993,7825
2015,NewOrleansMobile,3395215.0399999996,283611.77000000014,441
2015,NewYork,12259122.030000001,2977952.4800000004,2949
2015,Northeast,44839112.629999965,4479437.48,17252
2015,NorthernNewEngland,3785389.289999999,9057.910000000003,0
2015,Orlando,1932288.81,1386624.7700000007,964
2015,Philadelphia,5057956.4300000025,671967.6700000003,1209
2015,PhoenixTucson,3876592.68,945560.7400000002,613
2015,Pittsburgh,1064321.1800000002,455874.33,445
2015,Plains,14852485.850000003,651941.04,83506
2015,Portland,5428949.71,430045.39999999985,18427
2015,RaleighGreensboro,3561462.4500000016,153051.69,200
2015,RichmondNorfolk,2292618.999999999,127248.05000000003,499
2015,Roanoke,1526097.090000001,116307.01000000001,1404
2015,Sacramento,2438397.040000001,665.35,386
2015,SanDiego,2418986.490000001,436914.52999999985,2357
2015,SanFrancisco,3935158.410000002,44637.060000000005,2756
2015,Seattle,6352505.100000002,368272.17000000004,6037
2015,SouthCarolina,3108748.7199999974,553359.8100000003,481
2015,SouthCentral,29560284.23,6259518.55,200555
2015,Southeast,22055782.320000004,11380821.239999996,6509
2015,Spokane,679463.8500000001,23929.189999999995,140
2015,StLouis,2819213.6599999997,148060.27000000005,495
2015,Syracuse,1101369.6500000006,9337.05,0
2015,Tampa,2852002.83,1786932.2200000007,1262
2015,TotalUS,238429157.81000006,50062563.21999999,2057747
2015,West,36276400.38999996,15797923.8,53566
2015,WestTexNewMexico,4792658.449999999,697941.8900000005,37480
2016,Albany,793416.6400000002,23190.33,21694
2016,Atlanta,5446406.479999998,4495904.889999999,34425
2016,BaltimoreWashington,10000195.180000005,269549.35,86035
2016,Boise,2177190.3299999996,114330.44999999997,4852
2016,Boston,6829871.300000001,66104.82999999999,36322
2016,BuffaloRochester,3466932.599999999,105366.49,35213
2016,California,86717315.32999997,8022428.040000001,1359898
2016,Charlotte,2699225.3099999973,379297.9500000002,21523
2016,Chicago,4833246.040000001,243128.32999999996,148007
2016,CincinnatiDayton,1178349.9099999995,4919251.339999999,116932
2016,Columbus,2083223.2799999998,506773.3699999997,105091
2016,DallasFtWorth,14753328.389999997,701523.3599999998,216737
2016,Denver,5817896.559999998,16750597.5,35377
2016,Detroit,5299275.200000004,836379.8599999995,575121
2016,GrandRapids,2405682.0199999996,248259.76999999984,118824
2016,GreatLakes,35140333.91999998,14160804.820000002,2048857
2016,HarrisburgScranton,4185736.4900000016,164139.6,74129
2016,HartfordSpringfield,3512671.3600000013,65255.83000000001,32791
2016,Houston,6408967.290000001,5181016.689999999,251383
2016,Indianapolis,1841049.17,1364131.0799999994,131646
2016,Jacksonville,1296264.6500000004,2261494.8,55977
2016,LasVegas,2867921.5699999994,2796027.389999999,4663
2016,LosAngeles,60905661.88000003,5524770.669999999,1167176
2016,Louisville,699350.92,1100922.0399999998,55647
2016,MiamiFtLauderdale,3613776.919999999,5254598.960000001,181482
2016,Midsouth,36905314.429999985,6312891.8100000005,592005
2016,Nashville,2699529.51,1079105.6200000006,19337
2016,NewOrleansMobile,3698306.4600000014,858336.0000000002,216935
2016,NewYork,18044947.310000002,2610681.660000001,68182
2016,Northeast,56944313.319999985,4152132.1,512462
2016,NorthernNewEngland,4202994.21,11188.79,54680
2016,Orlando,2810155.85,3385822.4700000025,147126
2016,Philadelphia,7173347.89,590439.8600000005,44113
2016,PhoenixTucson,5798727.830000003,5780402.659999998,15132
2016,Pittsburgh,1652109.569999999,492298.7799999999,34592
2016,Plains,21472370.120000005,2314631.8000000003,558550
2016,Portland,18797558.93000001,1316821.51,21883
2016,RaleighGreensboro,4059602.5500000003,124800.61999999998,51756
2016,RichmondNorfolk,3236303.359999998,147669.59000000003,55437
2016,Roanoke,2522026.9699999983,275582.03,42394
2016,Sacramento,2804183.4900000016,21087.79000000002,30138
2016,SanDiego,8251738.9899999965,2066372.2399999995,26956
2016,SanFrancisco,4191067.54,78004.4,39270
2016,Seattle,19384691.23000001,1609561.949999999,23972
2016,SouthCarolina,3677248.1200000006,1732338.34,24569
2016,SouthCentral,55823449.15999998,11624871.279999994,1330168
2016,Southeast,33050212.490000002,30299463.67,853367
2016,Spokane,2341058.7899999986,156090.72000000006,2794
2016,StLouis,4774204.580000002,1367707.18,154185
2016,Syracuse,1210142.9299999992,41921.28,21399
2016,Tampa,3709695.62,3562339.52,146707
2016,TotalUS,410848198.77,125774355.29000002,7525278
2016,West,84794889.76999998,48887131.80000004,269972
2016,WestTexNewMexico,6642561.090000002,4397043.56,235131
2017,Albany,523959.18999999994,292884.24000000005,18663
2017,Atlanta,7434009.910000002,4028309.540000001,204847
2017,BaltimoreWashington,11122217.979999997,389257.5600000001,112654
2017,Boise,1751439.9600000002,340495.22000000003,2563
2017,Boston,6014934.139999997,977171.1200000003,38347
2017,BuffaloRochester,3282209.91,500783.97000000015,40982
2017,California,85277470.05,1741183.429999999,2818383
2017,Charlotte,3840501.0699999984,313369.1399999999,47976
2017,Chicago,4305788.89,704786.7799999998,180212
2017,CincinnatiDayton,1688161.7999999986,7882073.839999996,13071
2017,Columbus,3826194.15,599162.4099999999,10860
2017,DallasFtWorth,15715666.870000005,2801779.91,25418
2017,Denver,8406143.899999999,12710567.910000004,13704
2017,Detroit,8893240.460000003,1142889.6600000001,463317
2017,GrandRapids,2046232.0899999999,307032.67000000004,424416
2017,GreatLakes,45595642.32000001,23769226.220000003,2104327
2017,HarrisburgScranton,3976305.4699999993,252835.6300000001,57315
2017,HartfordSpringfield,3381727.2499999995,214590.88999999996,35315
2017,Houston,14927579.260000004,8429192.860000001,4019
2017,Indianapolis,2327534.790000001,2672517.7200000016,26524
2017,Jacksonville,1545696.5199999996,1756096.5999999999,47088
2017,LasVegas,3081800.060000001,4707653.409999998,6084
2017,LosAngeles,60751179.64999999,1170728.0300000003,2146381
2017,Louisville,1000485.7599999998,1766391.8899999994,9834
2017,MiamiFtLauderdale,3654380.2199999997,3712716.7300000014,121027
2017,Midsouth,50400083.97999998,8758283.620000001,599296
2017,Nashville,4660315.049999997,925316.8899999999,63304
2017,NewOrleansMobile,3611264.47,578803.4900000001,288524
2017,NewYork,20818003.33000001,3251680.7299999986,271036
2017,Northeast,55462992.06999999,10010554.789999997,683260
2017,NorthernNewEngland,2612646.3000000017,1989558.7300000007,49347
2017,Orlando,3127985.9000000004,2232898.45,93341
2017,Philadelphia,6996860.91,842983.0399999998,46609
2017,PhoenixTucson,9809409.629999999,7620203.329999998,72830
2017,Pittsburgh,2069121.22,449363.41000000003,22074
2017,Plains,25344684.63,3593356.749999999,448596
2017,Portland,15535353.77,3899132.9399999995,25755
2017,RaleighGreensboro,5416798.19,173226.27000000002,43089
2017,RichmondNorfolk,4562104.4799999995,246705.22999999992,61394
2017,Roanoke,3393467.809999999,365512.31999999995,30885
2017,Sacramento,2522487.359999999,36819.080000000016,107429
2017,SanDiego,7611418.629999996,339972.33000000013,86553
2017,SanFrancisco,4584040.830000003,49665.61000000002,131091
2017,Seattle,14930621.540000001,3766673.6200000006,29810
2017,SouthCarolina,4896739.790000002,1731867.2599999995,164360
2017,SouthCentral,72315746.53000005,22190061.27,646811
2017,Southeast,38187594.25999998,23295135.689999998,1481396
2017,Spokane,2054225.4199999997,430432.6200000003,3151
2017,StLouis,3356503.6299999994,834728.5399999999,56408
2017,Syracuse,1152236.3200000003,236705.77000000005,20362
2017,Tampa,2947951.5900000003,2516039.5800000005,86013
2017,TotalUS,458021071.5899998,150554624.51,9088842
2017,West,85436856.17999998,57196822.160000026,306780
2017,WestTexNewMexico,6743437.789999998,8038214.719999998,15532
2018,Albany,228096.44999999998,55761.50000000001,2935
2018,Atlanta,2680825.0900000012,1200846.28,37948
2018,BaltimoreWashington,3772707.3499999996,60392.08,4821
2018,Boise,266584.86,222596.98999999993,1322
2018,Boston,1384671.3800000001,379273.05999999994,10065
2018,BuffaloRochester,386822.8199999999,627530.9900000002,5573
2018,California,22368000.65,420257.34,895147
2018,Charlotte,1512938.4800000002,71907.62,3
2018,Chicago,1234466.3800000008,588609.1799999999,8010
2018,CincinnatiDayton,1711790.2400000005,315157.26,31577
2018,Columbus,1168793.8,364365.7700000001,9076
2018,DallasFtWorth,5027708.1099999985,1107712.02,144644
2018,Denver,1674279.9200000002,4541396.04,57
2018,Detroit,2485069.5800000005,549101.1100000001,147887
2018,GrandRapids,485102.06000000006,59078.91,211960
2018,GreatLakes,16088754.139999999,4782349.879999998,828555
2018,HarrisburgScranton,1193315.6599999997,78929.85,14766
2018,HartfordSpringfield,873743.42,59344.9,9420
2018,Houston,7275076.630000001,1337344.5399999998,8745
2018,Indianapolis,1168354.08,212101.77,22414
2018,Jacksonville,505467.89999999997,538147.42,2065
2018,LasVegas,1005894.8700000001,1042584.2499999999,5290
2018,LosAngeles,14437363.239999993,289749.91000000003,574009
2018,Louisville,492823.4800000001,273537.78,6320
2018,MiamiFtLauderdale,1285351.65,984912.9200000002,1638
2018,Midsouth,17411596.26,2518094.3600000003,100601
2018,Nashville,1325357.12,398467.22,21022
2018,NewOrleansMobile,1154768.6099999999,175947.97000000006,6789
2018,NewYork,7279609.829999999,392682.7100000001,17319
2018,Northeast,16376557.1,3413929.549999999,96396
2018,NorthernNewEngland,675940.7000000001,507600.19000000006,6624
2018,Orlando,1057448.2400000002,685168.1599999999,1814
2018,Philadelphia,2188858.66,246665.07000000007,14224
2018,PhoenixTucson,2787898.170000001,2134533.8799999994,66336
2018,Pittsburgh,622628.1700000002,382160.75,478
2018,Plains,7091083.340000001,1413714.1299999997,22281
2018,Portland,1746758.81,2271725.31,11947
2018,RaleighGreensboro,2002620.1199999999,90067.49999999997,1
2018,RichmondNorfolk,1565476.17,206318.05,6455
2018,Roanoke,1014747.3500000001,297762.7699999999,4796
2018,Sacramento,931773.0800000001,18142.819999999996,70763
2018,SanDiego,1993645.7000000004,78564.64,29190
2018,SanFrancisco,1792084.36,4632.170000000001,38520
2018,Seattle,1779322.7599999998,2431439.9200000004,8494
2018,SouthCarolina,1730610.5300000003,495690.58,37161
2018,SouthCentral,27116003.900000002,5862388.29,462578
2018,Southeast,13609685.700000001,7132187.429999999,175494
2018,Spokane,293563.45999999996,268429.10000000003,1097
2018,StLouis,981934.0499999999,228881.16999999998,13711
2018,Syracuse,181902.50999999998,217050.99999999994,1
2018,Tampa,1098424.2999999998,788126.5200000001,1199
2018,TotalUS,136262824.51,47192750.710000016,2783371
2018,West,16201143.04,21649829.52,202318
2018,WestTexNewMexico,1753098.9600000002,1918047.0200000003,25369
